"jornada","jornada_id","id","name","points","jornada_points","teamValue","position","lineup.type","lineup.players_1","lineup.players_2","lineup.players_3","lineup.players_4","lineup.players_5","lineup.players_6","lineup.players_7","lineup.players_8","lineup.players_9","lineup.players_10","lineup.players_11"
19,4502,10089858,"Karlox F.C.",644,54,87550000,2,"4-4-2",11,31707,33447,15462,20,30789,34077,3259,11686,2009,38289
19,4502,8127478,"Arregui",705,68,112290000,3,"4-3-3",30487,23403,26678,23840,27960,30495,2597,26048,12494,12526,26930
19,4502,6822272,"Ricardo J",546,46,152440000,4,"3-4-3",15430,2253,1721,17731,26068,1249,20102,19547,2001,15568,21008
19,4502,6826480,"Víctor Orta",503,39,70040000,5,"4-3-3",9090,11800,38290,2169,21068,38963,26994,21084,38964,9047,25724
19,4502,5684093,"CD Cornisa Azul",505,52,74890000,6,"4-3-3",2184,28012,31026,26276,1613,38449,32338,30477,10745,35606,10276
19,4502,11678835,"Julia",511,68,80020000,7,"3-4-3",17021,1074,26566,31321,12221,19445,9480,1733,35615,33,37450
20,4503,8128710,"Los vengadores",951,70,144970000,1,"4-3-3",257,2600,37719,10040,31043,34527,37456,31243,37473,19577,26271
20,4503,10089858,"Karlox F.C.",843,31,87550000,2,"3-4-3",11,20,33447,27996,35344,3259,22699,27591,38962,2009,38289
20,4503,8127478,"Arregui",870,32,112290000,3,"3-5-2",30487,18945,11045,2635,14800,30495,2597,26048,24979,12526,26930
20,4503,6822272,"Ricardo J",772,55,152440000,4,"3-4-3",15430,755,34111,17731,31027,19547,20102,20969,32042,2603,1927
20,4503,6826480,"Víctor Orta",748,45,70040000,5,"4-3-3",9090,11800,37725,33694,16889,21145,38963,21084,35678,9047,25724
20,4503,5684093,"CD Cornisa Azul",692,35,74890000,6,"3-4-3",9887,28012,22964,9557,17057,5807,32338,30477,27994,10745,6259
20,4503,11678835,"Julia",682,42,80020000,7,"3-4-3",17021,33839,26566,31321,12221,19445,9480,1733,18398,33,32114
21,4504,8128710,"Los vengadores",1033,82,144970000,1,"3-4-3",257,2600,1908,31043,5352,34527,28309,31243,24576,19577,26271
21,4504,10089858,"Karlox F.C.",890,47,87550000,2,"3-4-3",11,20,33447,27996,35344,3259,38368,27591,38962,2009,38289
21,4504,8127478,"Arregui",913,43,112290000,3,"4-4-2",30487,18945,11045,2635,35765,30495,2597,14800,24979,38164,26930
21,4504,6822272,"Ricardo J",816,44,152440000,4,"3-4-3",15430,35249,755,37499,9402,19547,31027,20969,2603,18178,1927
21,4504,6826480,"Víctor Orta",768,20,70040000,5,"4-3-3",9090,11800,37725,33694,2100,32629,26068,21084,35678,9047,25724
21,4504,5684093,"CD Cornisa Azul",741,49,74890000,6,"3-4-3",9887,28012,22964,9557,17057,5807,32338,30477,27994,10745,6259
21,4504,11678835,"Julia",740,58,80020000,7,"3-4-3",17021,33839,26566,31321,12221,19445,30210,1733,18398,33,32114
22,4505,8128710,"Los vengadores",1100,67,144970000,1,"3-4-3",257,2600,1908,31043,28309,34527,37456,31243,37473,19577,26271
22,4505,10089858,"Karlox F.C.",939,49,87550000,2,"3-4-3",11,20,33447,27996,35344,3259,38368,27591,38962,2009,38289
22,4505,8127478,"Arregui",947,34,112290000,3,"4-4-2",18251,18945,11045,35765,31707,30495,2597,29184,26048,38164,26930
22,4505,6822272,"Ricardo J",864,48,152440000,4,"3-5-2",15430,35249,2031,1844,30081,19547,9402,20969,31027,1927,2603
22,4505,6826480,"Víctor Orta",822,54,70040000,5,"4-3-3",9090,11800,37725,33694,2169,11196,26068,21084,35678,9047,25724
22,4505,5684093,"CD Cornisa Azul",779,38,74890000,6,"3-4-3",9887,28012,26276,9557,17057,5807,32338,30477,27994,10745,6259
22,4505,11678835,"Julia",785,45,80020000,7,"3-4-3",17021,27960,26566,31321,12221,19445,30210,1733,18398,33,29631
23,4506,8128710,"Los vengadores",1164,64,144970000,1,"3-4-3",257,2600,1679,31043,28309,34527,37456,31243,37473,19577,26271
23,4506,10089858,"Karlox F.C.",1005,66,87550000,2,"4-3-3",11,20,33447,27996,38369,3259,38368,27591,38962,2009,38289
23,4506,8127478,"Arregui",1006,59,112290000,3,"4-5-1",18251,18945,1760,31018,31707,30495,2597,24979,26048,163,38071
23,4506,6822272,"Ricardo J",905,41,152440000,4,"3-5-2",15430,35249,1844,25398,30081,19547,9402,20969,31027,1927,2603
23,4506,6826480,"Víctor Orta",849,27,70040000,5,"4-3-3",9090,11800,37725,33694,2169,11196,26068,2055,35678,9047,25724
23,4506,5684093,"CD Cornisa Azul",803,24,74890000,6,"3-4-3",9887,31026,26276,9557,14800,5807,32338,38449,10276,10745,6259
23,4506,11678835,"Julia",816,31,80020000,7,"3-4-3",17021,27960,28087,12424,12221,19445,30210,1733,18398,33,29908
24,4507,8128710,"Los vengadores",1176,12,144970000,1,"3-4-3",257,2600,1679,31043,28309,34527,39966,31243,37473,19577,26271
24,4507,10089858,"Karlox F.C.",1057,52,87550000,2,"4-4-2",11,20,33447,35156,38369,3259,38368,35344,34077,2009,38962
24,4507,8127478,"Arregui",1055,49,112290000,3,"4-4-2",18251,18945,32440,31018,31707,30495,2597,29034,26048,12494,38843
24,4507,6822272,"Ricardo J",942,37,152440000,4,"3-5-2",15430,35249,1613,25398,30081,19547,9402,20969,31027,32435,2603
24,4507,6826480,"Víctor Orta",892,43,70040000,5,"3-4-3",7003,11800,2169,2100,1769,11196,26068,2055,18382,17056,25724
24,4507,5684093,"CD Cornisa Azul",849,46,74890000,6,"3-4-3",9887,31026,26276,9557,14800,5807,32338,26994,39431,10745,37451
24,4507,11678835,"Julia",858,42,80020000,7,"3-4-3",17021,26566,2476,32020,12221,19445,30210,1733,18398,33,29908
25,4508,8128710,"Los vengadores",1226,50,144970000,1,"3-4-3",257,2600,1679,31043,17344,34527,39966,31243,37473,19577,26271
25,4508,10089858,"Karlox F.C.",1106,49,87550000,2,"4-3-3",11,38369,33447,35156,20,3259,38368,34077,15568,2009,38962
25,4508,8127478,"Arregui",1087,32,112290000,3,"3-4-3",18251,31707,32440,1760,39816,30495,2597,26048,18397,26930,38843
25,4508,6822272,"Ricardo J",991,49,152440000,4,"3-5-2",15430,25398,1613,37499,30081,19547,9402,20969,31027,2001,2603
25,4508,6826480,"Víctor Orta",935,43,70040000,5,"3-4-3",7003,11800,2169,17731,1769,11196,24979,2055,18382,17056,25724
25,4508,5684093,"CD Cornisa Azul",905,56,74890000,6,"3-4-3",9887,31026,26276,9557,19860,5807,32338,26994,10276,10745,37451
25,4508,11678835,"Julia",879,21,80020000,7,"3-4-3",17021,26566,2476,28087,12221,19445,30210,1733,18398,33,29908
26,4509,8128710,"Los vengadores",1226,NA,144970000,1,"3-4-3",257,2600,1679,31043,28309,34527,39966,31243,37473,24576,26271
26,4509,10089858,"Karlox F.C.",1106,NA,87550000,2,"4-4-2",11,38369,33447,35156,20,3259,38368,34077,38867,15568,38962
26,4509,8127478,"Arregui",1087,NA,112290000,3,"3-4-3",18251,31707,32440,1760,39816,30495,2597,26048,18397,26930,38843
26,4509,6822272,"Ricardo J",991,NA,152440000,4,"3-5-2",15430,25398,1613,37499,30081,19547,9402,20969,31027,34479,2603
26,4509,6826480,"Víctor Orta",935,NA,70040000,5,"3-4-3",7003,11800,2169,17731,1769,11196,26068,2055,18382,17056,25724
26,4509,5684093,"CD Cornisa Azul",905,NA,74890000,6,"3-4-3",9887,31026,26276,9557,19860,5807,32338,17057,10276,10745,26077
26,4509,11678835,"Julia",879,NA,80020000,7,"3-4-3",17021,26566,2476,28087,12221,19445,30210,1733,18398,33,29908
