id,name,slug,teamID,position,price,fantasyPrice,number,status,priceIncrement,playedHome,playedAway,points,pointsHome,pointsAway,pointsLastSeason,fitness_json,iconHero,altPositions,statusInfo,statusChange
32440,Cubarsí,pau-cubarsi,3,2,9840000,21000000,5,ok,-220000,14,17,127,64,63,170,"[null,null,6,6,10]",,,,
1874,Pau López,pau-lopez,87,1,300000,15000000,25,ok,0,4,5,38,16,22,2,"[null,null,null,null,null]",,,,
35156,Pau Navarro,pau-navarro,19,2,1900000,7000000,6,ok,0,13,10,94,62,32,48,"[6,null,2,null,2]",,,,
19441,Pedri,pedri,3,3,21410000,55000000,8,ok,-160000,15,14,179,98,81,262,"[null,6,2,6,6]",i/p/hero/19441.png,,,
34483,Pedro Díaz,pedro-diaz,70,3,680000,12000000,4,ok,-10000,18,16,90,58,32,106,"[2,2,2,2,null]",,,,
16889,Pedrosa,pedrosa,75,2,240000,11000000,3,ok,0,12,15,53,20,33,103,"[2,2,2,null,2]",,[3],,
19513,Pellegrini,pellegrini,87,5,1380000,15000000,0,ok,0,19,19,60,36,24,60,"[3,0,3,1,3]",,,,
28012,Chavarría,pep-chavarria,70,2,1990000,11000000,3,ok,-40000,16,17,136,76,60,122,"[null,2,2,2,2]",,,,
12221,Pepelu,pepelu,18,3,2330000,14000000,18,ok,-50000,15,16,91,45,46,66,"[2,2,2,2,2]",i/p/hero/12221.png,[2],,
9047,Pere Milla,pere-milla,7,4,2260000,7000000,11,ok,-40000,18,15,125,74,51,47,"[6,2,13,null,-2]",,[3],,
27271,Pitarch,pitarch,15,3,2440000,7000000,45,ok,-50000,4,6,36,20,16,,"[10,6,null,2,2]",,,,
17148,Pol Lozano,pol-lozano,7,3,800000,8000000,10,ok,-10000,15,18,103,55,48,96,"[null,2,6,2,""sanctioned""]",,,,
25020,Sánchez Flores,quique-sanchez-flores,91,5,380000,7000000,0,ok,0,6,6,16,8,8,,"[0,3,3,1,0]",,,,
35678,Roberto Fernández,r-fernandez,7,4,2160000,12000000,9,ok,0,19,19,165,108,57,104,"[9,2,6,2,2]",,,,
34488,Ricardo Rodríguez,r-rodriguez,87,2,290000,10000000,12,ok,0,12,11,48,30,18,38,"[2,null,null,2,6]",,,,
11633,Raba,raba,18,4,290000,16000000,19,ok,0,9,4,22,16,6,142,"[null,null,null,null,0]",i/p/hero/11633.png,,,
21068,Rafa Marín,rafa-marin,19,2,1050000,9000000,4,ok,-10000,11,12,91,47,44,,"[2,2,null,6,null]",,,,
19297,Rafa Mir,rafa-mir,75,4,1480000,8000000,10,ok,70000,15,12,124,75,49,55,"[null,null,""doubt"",""doubt"",""doubt""]",i/p/hero/19297.png,,,
41253,Ramis,ramis-2,93,5,440000,8000000,0,ok,0,0,0,0,0,0,,[],,,,
26092,Terrats,ramon-terrats,7,3,410000,12000000,14,ok,0,16,13,72,46,26,94,"[2,null,6,-2,6]",i/p/hero/26092.png,[4],,
24336,Nteka,randy-nteka,70,4,160000,8000000,11,ok,0,3,10,41,11,30,57,"[9,null,-2,null,13]",,,,
26930,Raphinha,raphinha,3,4,15530000,55000000,11,ok,-110000,13,9,163,123,40,270,"[null,16,""sanctioned"",2,null]",i/p/hero/26930.png,,,
38289,Rashford,rashford,3,4,10420000,36000000,14,ok,-220000,14,18,168,89,79,,"[-2,null,2,9,6]",,,,
35249,Asencio,raul-asencio,15,2,2000000,17000000,17,ok,-40000,10,13,104,46,58,92,"[2,null,6,2,null]",i/p/hero/35249.png,,,
9068,Raúl Fernández,raul-fernandez,91,1,150000,7000000,13,ok,0,0,0,0,0,0,,"[null,null,null,null,null]",,,,
18382,Raul García,raul-garcia-2,93,4,1960000,8000000,9,ok,-50000,18,18,111,65,46,72,"[2,2,2,2,9]",,,,
33697,Raúl Moro,raul-moro,93,4,920000,8000000,15,ok,-10000,7,7,34,16,18,158,"[2,""injured"",2,2,6]",i/p/hero/33697.png,[3],,
