board_index,content_index,type,date,date_iso,fixed,title,author_id,author_name,player_id,amount,from_user_id,from_user_name,to_user_id,to_user_name,content_json
370,2,market,1761023318,2025-10-21T05:08:38+00:00,False,,,,18174,9565000,,,8128710,Los vengadores,"{""player"":18174,""to"":{""id"":8128710,""name"":""Los vengadores"",""icon"":""icons/11.png""},""amount"":9565000}"
371,0,transfer,1760953351,2025-10-20T09:42:31+00:00,False,,,,5807,1683900,8128710,Los vengadores,,,"{""player"":5807,""from"":{""id"":8128710,""name"":""Los vengadores"",""icon"":""icons/11.png""},""amount"":1683900}"
371,1,transfer,1760953351,2025-10-20T09:42:31+00:00,False,,,,1679,1440400,8128710,Los vengadores,,,"{""player"":1679,""from"":{""id"":8128710,""name"":""Los vengadores"",""icon"":""icons/11.png""},""amount"":1440400}"
372,0,transfer,1760941681,2025-10-20T06:28:01+00:00,False,,,,34479,12354200,6822272,Ricardo J,,,"{""player"":34479,""from"":{""id"":6822272,""name"":""Ricardo J""},""amount"":12354200}"
373,0,transfer,1760937329,2025-10-20T05:15:29+00:00,False,,,,21145,1035400,8127478,Arregui,,,"{""player"":21145,""from"":{""id"":8127478,""name"":""Arregui"",""icon"":""https://lh3.googleusercontent.com/a/AItbvmlJOQCrYJFKsWPDYSjpqt1A7kAZJUhj-ZkmC-6Q=s300-c""},""amount"":1035400}"
374,0,market,1760936994,2025-10-20T05:09:54+00:00,False,,,,31267,1688000,,,6822272,Ricardo J,"{""player"":31267,""to"":{""id"":6822272,""name"":""Ricardo J""},""amount"":1688000,""bids"":[{""user"":{""id"":8128710,""name"":""Los vengadores"",""icon"":""icons/11.png""},""amount"":1488000},{""user"":{""id"":11678835,""name"":""Julia"",""icon"":""https://graph.facebook.com/10218096465979952/picture?height=300&width=300""},""amount"":1480000}]}"
374,1,market,1760936994,2025-10-20T05:09:54+00:00,False,,,,30141,215000,,,6822272,Ricardo J,"{""player"":30141,""to"":{""id"":6822272,""name"":""Ricardo J""},""amount"":215000,""bids"":[{""user"":{""id"":10089858,""name"":""Karlox F.C."",""icon"":""icons/7.png""},""amount"":210030}]}"
374,2,market,1760936994,2025-10-20T05:09:54+00:00,False,,,,24509,5260000,,,8128710,Los vengadores,"{""player"":24509,""to"":{""id"":8128710,""name"":""Los vengadores"",""icon"":""icons/11.png""},""amount"":5260000}"
374,3,market,1760936994,2025-10-20T05:09:54+00:00,False,,,,20969,4358000,,,8128710,Los vengadores,"{""player"":20969,""to"":{""id"":8128710,""name"":""Los vengadores"",""icon"":""icons/11.png""},""amount"":4358000,""bids"":[{""user"":{""id"":11678835,""name"":""Julia"",""icon"":""https://graph.facebook.com/10218096465979952/picture?height=300&width=300""},""amount"":4230000}]}"
375,0,market,1760850458,2025-10-19T05:07:38+00:00,False,,,,38843,1670000,,,8128710,Los vengadores,"{""player"":38843,""to"":{""id"":8128710,""name"":""Los vengadores"",""icon"":""icons/11.png""},""amount"":1670000}"
376,0,market,1760764048,2025-10-18T05:07:28+00:00,False,,,,38958,3486000,,,8128710,Los vengadores,"{""player"":38958,""to"":{""id"":8128710,""name"":""Los vengadores"",""icon"":""icons/11.png""},""amount"":3486000}"
376,1,market,1760764048,2025-10-18T05:07:28+00:00,False,,,,37724,2550000,,,6822272,Ricardo J,"{""player"":37724,""to"":{""id"":6822272,""name"":""Ricardo J""},""amount"":2550000,""bids"":[{""user"":{""id"":8128710,""name"":""Los vengadores"",""icon"":""icons/11.png""},""amount"":2360000}]}"
376,2,market,1760764048,2025-10-18T05:07:28+00:00,False,,,,38216,1990000,,,11678835,Julia,"{""player"":38216,""to"":{""id"":11678835,""name"":""Julia"",""icon"":""https://graph.facebook.com/10218096465979952/picture?height=300&width=300""},""amount"":1990000,""bids"":[{""user"":{""id"":6822272,""name"":""Ricardo J""},""amount"":1275000},{""user"":{""id"":8128710,""name"":""Los vengadores"",""icon"":""icons/11.png""},""amount"":1116000}]}"
377,0,transfer,1760623919,2025-10-16T14:11:59+00:00,False,,,,2044,1919500,8128710,Los vengadores,,,"{""player"":2044,""from"":{""id"":8128710,""name"":""Los vengadores"",""icon"":""icons/11.png""},""amount"":1919500}"
377,1,transfer,1760623919,2025-10-16T14:11:59+00:00,False,,,,12494,1176300,8128710,Los vengadores,,,"{""player"":12494,""from"":{""id"":8128710,""name"":""Los vengadores"",""icon"":""icons/11.png""},""amount"":1176300}"
377,2,transfer,1760623919,2025-10-16T14:11:59+00:00,False,,,,30510,455900,8128710,Los vengadores,,,"{""player"":30510,""from"":{""id"":8128710,""name"":""Los vengadores"",""icon"":""icons/11.png""},""amount"":455900}"
