player_id,player_name,player_slug,owner_user_id,owner_user_name,acquired_date,acquired_date_iso,acquired_amount,acquired_type,sold_date,sold_date_iso,sold_to_user_id,sold_to_user_name
11686,Lo Celso,g-lo-celso,10089858,Karlox F.C.,1762150145,2025-11-03T06:09:05+00:00,8666666,market,1768111636,2026-01-11T06:07:16+00:00,6822272,Ricardo J
11686,Lo Celso,g-lo-celso,6822272,Ricardo J,1768111636,2026-01-11T06:07:16+00:00,5760000,market,1771395000,2026-02-18T06:10:00+00:00,6822272,Ricardo J
11686,Lo Celso,g-lo-celso,6822272,Ricardo J,1771395000,2026-02-18T06:10:00+00:00,3410000,market,,,,
26077,Sadiq,umar-sadiq,6822272,Ricardo J,1768716334,2026-01-18T06:05:34+00:00,3240000,market,1771308677,2026-02-17T06:11:17+00:00,5684093,CD Cornisa Azul
26077,Sadiq,umar-sadiq,5684093,CD Cornisa Azul,1771308677,2026-02-17T06:11:17+00:00,2212350,market,,,,
32460,Héctor Fort,hector-fort,6822272,Ricardo J,1765346955,2025-12-10T06:09:15+00:00,3290000,market,1771222077,2026-02-16T06:07:57+00:00,6822272,Ricardo J
32460,Héctor Fort,hector-fort,6822272,Ricardo J,1771222077,2026-02-16T06:07:57+00:00,1120000,market,,,,
19860,Febas,aleix-febas,5684093,CD Cornisa Azul,1771049333,2026-02-14T06:08:53+00:00,13017524,market,,,,
39966,Álvaro Fidalgo,alvaro-fidalgo,8128710,Los vengadores,1770963102,2026-02-13T06:11:42+00:00,4770000,market,,,,
38843,,,8128710,Los vengadores,1760850458,2025-10-19T05:07:38+00:00,1670000,market,1770963102,2026-02-13T06:11:42+00:00,8127478,Arregui
38843,,,8127478,Arregui,1770963102,2026-02-13T06:11:42+00:00,3600000,market,,,,
15455,Elgezabal,unai-elgezabal,6822272,Ricardo J,1758517670,2025-09-22T05:07:50+00:00,1610000,market,1770963102,2026-02-13T06:11:42+00:00,11678835,Julia
15455,Elgezabal,unai-elgezabal,11678835,Julia,1770963102,2026-02-13T06:11:42+00:00,370000,market,,,,
32435,Etta Eyong,etta-eyong,6822272,Ricardo J,1770963102,2026-02-13T06:11:42+00:00,4840008,market,,,,
12494,Boyé,lucas-boye,8128710,Los vengadores,1760159231,2025-10-11T05:07:11+00:00,1156000,market,1763705123,2025-11-21T06:05:23+00:00,8127478,Arregui
12494,Boyé,lucas-boye,8127478,Arregui,1763705123,2025-11-21T06:05:23+00:00,3140000,market,1770963102,2026-02-13T06:11:42+00:00,8127478,Arregui
12494,Boyé,lucas-boye,8127478,Arregui,1770963102,2026-02-13T06:11:42+00:00,3260000,market,,,,
7003,Remiro,alex-remiro,6822272,Ricardo J,1758863266,2025-09-26T05:07:46+00:00,4170000,market,1770876619,2026-02-12T06:10:19+00:00,6826480,Víctor Orta
7003,Remiro,alex-remiro,6826480,Víctor Orta,1770876619,2026-02-12T06:10:19+00:00,3900000,market,,,,
1769,,,6826480,Víctor Orta,1770876619,2026-02-12T06:10:19+00:00,3420000,market,,,,
27715,Nianzou,tanguy-nianzou,8128710,Los vengadores,1761368807,2025-10-25T05:06:47+00:00,682000,market,1770876619,2026-02-12T06:10:19+00:00,6826480,Víctor Orta
27715,Nianzou,tanguy-nianzou,6826480,Víctor Orta,1770876619,2026-02-12T06:10:19+00:00,240001,market,,,,
2476,Lejeune,lejeune,11678835,Julia,1770790378,2026-02-11T06:12:58+00:00,5640000,market,,,,
29034,Pablo Marín,pablo-marin,8127478,Arregui,1756357653,2025-08-28T05:07:33+00:00,2480000,market,1770703571,2026-02-10T06:06:11+00:00,8127478,Arregui
29034,Pablo Marín,pablo-marin,8127478,Arregui,1770703571,2026-02-10T06:06:11+00:00,700000,market,,,,
32440,Cubarsí,pau-cubarsi,6822272,Ricardo J,1755752911,2025-08-21T05:08:31+00:00,7410007,market,1757912895,2025-09-15T05:08:15+00:00,8128710,Los vengadores
32440,Cubarsí,pau-cubarsi,8128710,Los vengadores,1757912895,2025-09-15T05:08:15+00:00,5890000,market,1759209011,2025-09-30T05:10:11+00:00,6826480,Víctor Orta
32440,Cubarsí,pau-cubarsi,6826480,Víctor Orta,1759209011,2025-09-30T05:10:11+00:00,6400000,market,1770703571,2026-02-10T06:06:11+00:00,8127478,Arregui
32440,Cubarsí,pau-cubarsi,8127478,Arregui,1770703571,2026-02-10T06:06:11+00:00,6510000,market,,,,
39974,Obed Vargas,obed-vargas,11678835,Julia,1770703571,2026-02-10T06:06:11+00:00,1420000,market,,,,
17056,Guruzeta,guruceta,6822272,Ricardo J,1767679518,2026-01-06T06:05:18+00:00,1128000,market,1770703571,2026-02-10T06:06:11+00:00,6826480,Víctor Orta
17056,Guruzeta,guruceta,6826480,Víctor Orta,1770703571,2026-02-10T06:06:11+00:00,1820000,market,,,,
18382,Raul García,raul-garcia-2,8127478,Arregui,1755407363,2025-08-17T05:09:23+00:00,360000,market,1768457173,2026-01-15T06:06:13+00:00,11678835,Julia
18382,Raul García,raul-garcia-2,11678835,Julia,1768457173,2026-01-15T06:06:13+00:00,1370000,market,1770703571,2026-02-10T06:06:11+00:00,6826480,Víctor Orta
18382,Raul García,raul-garcia-2,6826480,Víctor Orta,1770703571,2026-02-10T06:06:11+00:00,1190000,market,,,,
39431,,,5684093,CD Cornisa Azul,1770617181,2026-02-09T06:06:21+00:00,1865210,market,,,,
37451,,,5684093,CD Cornisa Azul,1770617181,2026-02-09T06:06:21+00:00,2845000,market,,,,
26994,,,6826480,Víctor Orta,1762409163,2025-11-06T06:06:03+00:00,1940000,market,1770617181,2026-02-09T06:06:21+00:00,5684093,CD Cornisa Azul
26994,,,5684093,CD Cornisa Azul,1770617181,2026-02-09T06:06:21+00:00,975100,market,,,,
32020,Aramburu,jon-aramburu,11678835,Julia,1762322730,2025-11-05T06:05:30+00:00,2280000,market,1770444425,2026-02-07T06:07:05+00:00,11678835,Julia
32020,Aramburu,jon-aramburu,11678835,Julia,1770444425,2026-02-07T06:07:05+00:00,3290000,market,,,,
15471,,,6822272,Ricardo J,1759036132,2025-09-28T05:08:52+00:00,1650000,market,1764396484,2025-11-29T06:08:04+00:00,6822272,Ricardo J
15471,,,6822272,Ricardo J,1764396484,2025-11-29T06:08:04+00:00,1228000,market,1766383682,2025-12-22T06:08:02+00:00,6822272,Ricardo J
15471,,,6822272,Ricardo J,1766383682,2025-12-22T06:08:02+00:00,1530007,market,1770444425,2026-02-07T06:07:05+00:00,6822272,Ricardo J
15471,,,6822272,Ricardo J,1770444425,2026-02-07T06:07:05+00:00,1100000,market,,,,
29908,Álvaro Rodríguez,alvaro-rodriguez,10089858,Karlox F.C.,1759381791,2025-10-02T05:09:51+00:00,1380010,market,1766470135,2025-12-23T06:08:55+00:00,6822272,Ricardo J
29908,Álvaro Rodríguez,alvaro-rodriguez,6822272,Ricardo J,1766470135,2025-12-23T06:08:55+00:00,3260000,market,1770358024,2026-02-06T06:07:04+00:00,11678835,Julia
29908,Álvaro Rodríguez,alvaro-rodriguez,11678835,Julia,1770358024,2026-02-06T06:07:04+00:00,5740000,market,,,,
14800,Pablo Ibáñez,pablo-ibanez,6822272,Ricardo J,1757567101,2025-09-11T05:05:01+00:00,1675000,market,1767506885,2026-01-04T06:08:05+00:00,8127478,Arregui
14800,Pablo Ibáñez,pablo-ibanez,8127478,Arregui,1767506885,2026-01-04T06:08:05+00:00,1900000,market,1770358024,2026-02-06T06:07:04+00:00,5684093,CD Cornisa Azul
14800,Pablo Ibáñez,pablo-ibanez,5684093,CD Cornisa Azul,1770358024,2026-02-06T06:07:04+00:00,2865000,market,,,,
28087,Marcos Alonso,marcos-alonso,5684093,CD Cornisa Azul,1761458837,2025-10-26T06:07:17+00:00,3432000,market,1770271847,2026-02-05T06:10:47+00:00,11678835,Julia
28087,Marcos Alonso,marcos-alonso,11678835,Julia,1770271847,2026-02-05T06:10:47+00:00,5930000,market,,,,
12424,Jon Pacheco,jon-pacheco,8128710,Los vengadores,1756184935,2025-08-26T05:08:55+00:00,256000,market,1770185257,2026-02-04T06:07:37+00:00,11678835,Julia
12424,Jon Pacheco,jon-pacheco,11678835,Julia,1770185257,2026-02-04T06:07:37+00:00,1890000,market,,,,
2055,De Galarreta,ruiz-de-galarreta,6826480,Víctor Orta,1770185257,2026-02-04T06:07:37+00:00,2760000,market,,,,
1760,Chust,chust,6822272,Ricardo J,1761196192,2025-10-23T05:09:52+00:00,1695000,market,1770185257,2026-02-04T06:07:37+00:00,8127478,Arregui
1760,Chust,chust,8127478,Arregui,1770185257,2026-02-04T06:07:37+00:00,990000,market,,,,
17937,Iván Romero,ivan-romero,11678835,Julia,1770099015,2026-02-03T06:10:15+00:00,2960000,market,,,,
38369,,,6822272,Ricardo J,1761282582,2025-10-24T05:09:42+00:00,2210000,market,1770012632,2026-02-02T06:10:32+00:00,10089858,Karlox F.C.
38369,,,10089858,Karlox F.C.,1770012632,2026-02-02T06:10:32+00:00,4666666,market,,,,
38071,Adrián Liso,adrian-liso,8127478,Arregui,1770012632,2026-02-02T06:10:32+00:00,970000,market,,,,
38957,Lucas Beltrán,lucas-beltran,11678835,Julia,1770012632,2026-02-02T06:10:32+00:00,1270000,market,,,,
25398,Pubill,marc-pubill,6822272,Ricardo J,1769925900,2026-02-01T06:05:00+00:00,8770000,market,,,,
39785,Raghouber,ugo-raghouber,6822272,Ricardo J,1769839741,2026-01-31T06:09:01+00:00,515500,market,,,,
34541,,,6822272,Ricardo J,1763532405,2025-11-19T06:06:45+00:00,1100000,market,1769753323,2026-01-30T06:08:43+00:00,8127478,Arregui
34541,,,8127478,Arregui,1769753323,2026-01-30T06:08:43+00:00,650000,market,,,,
1679,Diego Llorente,diego-llorente,8128710,Los vengadores,1756444064,2025-08-29T05:07:44+00:00,2160000,market,1769753323,2026-01-30T06:08:43+00:00,8128710,Los vengadores
1679,Diego Llorente,diego-llorente,8128710,Los vengadores,1769753323,2026-01-30T06:08:43+00:00,868000,market,,,,
18251,Sergio Herrera,sergio-herrera,6822272,Ricardo J,1768457173,2026-01-15T06:06:13+00:00,4720000,market,1769711988,2026-01-29T18:39:48+00:00,8127478,Arregui
18251,Sergio Herrera,sergio-herrera,8127478,Arregui,1769711988,2026-01-29T18:39:48+00:00,5510000,transfer,,,,
1844,Gayà,gaya,6822272,Ricardo J,1769667038,2026-01-29T06:10:38+00:00,1520000,market,,,,
163,Guido Rodríguez,g-rodriguez,8127478,Arregui,1769580318,2026-01-28T06:05:18+00:00,950000,market,,,,
37455,,,8127478,Arregui,1769494356,2026-01-27T06:12:36+00:00,640000,market,,,,
29184,Barrios,pablo-barrios,8127478,Arregui,1769408092,2026-01-26T06:14:52+00:00,9100000,market,,,,
11196,,,11678835,Julia,1755320901,2025-08-16T05:08:21+00:00,4770000,market,1769408092,2026-01-26T06:14:52+00:00,6826480,Víctor Orta
11196,,,6826480,Víctor Orta,1769408092,2026-01-26T06:14:52+00:00,1210000,market,,,,
2031,Pedraza,alfonso-pedraza,6822272,Ricardo J,1760072651,2025-10-10T05:04:11+00:00,555000,market,1769408092,2026-01-26T06:14:52+00:00,6822272,Ricardo J
2031,Pedraza,alfonso-pedraza,6822272,Ricardo J,1769408092,2026-01-26T06:14:52+00:00,2170000,market,,,,
27960,Carmona,jose-angel-carmona,8127478,Arregui,1758085491,2025-09-17T05:04:51+00:00,1740000,market,1769321236,2026-01-25T06:07:16+00:00,11678835,Julia
27960,Carmona,jose-angel-carmona,11678835,Julia,1769321236,2026-01-25T06:07:16+00:00,3100000,market,,,,
30081,Pape Gueye,pape-gueye,8128710,Los vengadores,1754716029,2025-08-09T05:07:09+00:00,5050050,market,1769234857,2026-01-24T06:07:37+00:00,6822272,Ricardo J
30081,Pape Gueye,pape-gueye,6822272,Ricardo J,1769234857,2026-01-24T06:07:37+00:00,4280000,market,,,,
